ContigID	GOSlim_bin
Contig_33006	developmental processes
Contig_8345	death
Contig_2775	cell organization and biogenesis
Contig_5015	RNA metabolism
Contig_37918	cell organization and biogenesis
Contig_39944	other biological processes
F66KHFO01CK7IF	death
CCHX10322_b1_c	RNA metabolism
F66KHFO01CMFOE	RNA metabolism
F66KHFO01BQQ0H	other biological processes
Contig_6086	developmental processes
F66KHFO02GTYL9	protein metabolism
F66KHFO01AFKKD	RNA metabolism
Contig_35427	cell cycle and proliferation
F66KHFO01CEBJL	other metabolic processes
Contig_38755	cell cycle and proliferation
Contig_3497	protein metabolism
F66KHFO01DYPYS	other metabolic processes
F66KHFO01BKRUS	cell organization and biogenesis
Contig_37262	protein metabolism
Contig_16553	transport
Contig_4060	cell cycle and proliferation
Contig_5755	other metabolic processes
CAOI1044_b2_c	other biological processes
F66KHFO02F4TOJ	other biological processes
F66KHFO01B1GF5	developmental processes
F66KHFO01BCVP2	RNA metabolism
Contig_2907	RNA metabolism
Contig_8326	protein metabolism
Contig_7130	death
F66KHFO01EBS5L	other metabolic processes
F66KHFO02GEILR	transport
F66KHFO02JGI60	transport
Contig_11976	RNA metabolism
Contig_38625	RNA metabolism
Contig_36186	cell organization and biogenesis
F66KHFO01BLU7P	DNA metabolism
Contig_40016	other metabolic processes
F66KHFO01DSEYQ	other metabolic processes
Contig_41744	other biological processes
Contig_35257	cell organization and biogenesis
F66KHFO02ISC7U	stress response
Contig_23578	other biological processes
F66KHFO01D56P8	transport
Contig_20330	other metabolic processes
F66KHFO02FOEMF	other metabolic processes
Contig_32916	other metabolic processes
Contig_23301	RNA metabolism
Contig_2332	developmental processes
Contig_35442	developmental processes
Contig_9213	signal transduction
Contig_42401	other biological processes
Contig_7825	other biological processes
Contig_6375	transport
F66KHFO02GWCWP	signal transduction
Contig_36487	signal transduction
Contig_32723	developmental processes
F66KHFO02F8HDO	developmental processes
Contig_31738	RNA metabolism
Contig_11892	cell organization and biogenesis
Contig_6452	signal transduction
F66KHFO01D3YT2	other metabolic processes
Contig_19779	cell organization and biogenesis
Contig_15467	signal transduction
F66KHFO01D5SMQ	other metabolic processes
Contig_14543	other metabolic processes
F66KHFO02IQD4R	protein metabolism
Contig_186	cell organization and biogenesis
Contig_14489	other biological processes
F66KHFO02HF68R	cell organization and biogenesis
Contig_31068	death
Contig_32431	developmental processes
F66KHFO01D4858	protein metabolism
F66KHFO02IHPS7	cell-cell signaling
F66KHFO01C50NT	RNA metabolism
Contig_3961	other metabolic processes
Contig_30057	other metabolic processes
F66KHFO01AJFNZ	developmental processes
CCHX16605_b1_c	other metabolic processes
F66KHFO01C88PE	developmental processes
F66KHFO01DKBDC	protein metabolism
F66KHFO01BF1BZ	other biological processes
Contig_25329	RNA metabolism
F66KHFO01EJL6Y	RNA metabolism
F66KHFO01APCGS	cell organization and biogenesis
Contig_35398	transport
F66KHFO02GMZSH	protein metabolism
F66KHFO02GI7ML	other biological processes
Contig_22371	RNA metabolism
Contig_12386	other biological processes
Contig_28626	other biological processes
F66KHFO02HJAOP	protein metabolism
Contig_42209	developmental processes
Contig_20272	transport
Contig_25506	stress response
Contig_25360	other metabolic processes
F66KHFO01C2ZKQ	cell organization and biogenesis
F66KHFO02I1AFB	RNA metabolism
F66KHFO02HZDNW	RNA metabolism
F66KHFO01BKPAY	cell cycle and proliferation
Contig_33420	cell organization and biogenesis
Contig_24839	stress response
Contig_16257	cell cycle and proliferation
F66KHFO02HESO2	other biological processes
Contig_26018	developmental processes
Contig_20684	cell organization and biogenesis
Contig_24942	other metabolic processes
Contig_21499	other metabolic processes
Contig_30520	RNA metabolism
Contig_31767	cell cycle and proliferation
Contig_26630	signal transduction
Contig_31115	protein metabolism
Contig_3739	stress response
F66KHFO01AU95B	RNA metabolism
F66KHFO01DTZY4	cell adhesion
Contig_10978	developmental processes
Contig_38732	other biological processes
Contig_12873	RNA metabolism
F66KHFO01C71J7	other biological processes
Contig_38459	transport
F66KHFO01AHC9D	signal transduction
F66KHFO01ALBIM	RNA metabolism
Contig_22958	other biological processes
F66KHFO01C5AVZ	other metabolic processes
Contig_2416	other biological processes
F66KHFO01C52WM	other metabolic processes
F66KHFO02G1DS6	RNA metabolism
F66KHFO01DVSPX	developmental processes
Contig_9647	protein metabolism
Contig_31112	other biological processes
Contig_7478	cell organization and biogenesis
Contig_10299	other biological processes
Contig_19990	other metabolic processes
F66KHFO01AH2QX	other biological processes
Contig_1824	other biological processes
Contig_25969	RNA metabolism
Contig_39901	stress response
Contig_32981	other biological processes
Contig_28126	other biological processes
F66KHFO02G7FLG	cell organization and biogenesis
F66KHFO01DCPMS	other biological processes
Contig_27340	transport
Contig_34279	transport
F66KHFO01DZBPU	other metabolic processes
F66KHFO02GCPEK	cell cycle and proliferation
Contig_33682	other biological processes
F66KHFO02JRJIB	developmental processes
F66KHFO01BJMTT	cell organization and biogenesis
Contig_17460	other biological processes
Contig_32927	signal transduction
F66KHFO01D5TOC	RNA metabolism
F66KHFO02H6KNP	signal transduction
Contig_36408	death
Contig_31029	other biological processes
F66KHFO02H4DDT	other biological processes
Contig_23878	protein metabolism
Contig_9169	other biological processes
Contig_11465	stress response
F66KHFO02G04H4	other metabolic processes
Contig_23612	developmental processes
Contig_13306	other metabolic processes
Contig_28255	other metabolic processes
F66KHFO01DF75G	other biological processes
Contig_10243	cell organization and biogenesis
Contig_36837	death
Contig_11299	signal transduction
Contig_13163	other metabolic processes
Contig_11006	RNA metabolism
F66KHFO01BHNW9	signal transduction
Contig_13689	death
F66KHFO02JWMMQ	stress response
Contig_35432	transport
Contig_1922	RNA metabolism
F66KHFO02G5EJW	transport
Contig_805	other metabolic processes
Contig_1722	signal transduction
Contig_17656	transport
Contig_29877	developmental processes
Contig_24127	transport
AOKF2099_g2_c	other metabolic processes
Contig_13615	other metabolic processes
Contig_35220	transport
F66KHFO02G8E0J	cell organization and biogenesis
Contig_41511	transport
F66KHFO01EXQS2	other metabolic processes
F66KHFO01COFSJ	transport
F66KHFO02IPFAY	signal transduction
Contig_11784	death
F66KHFO01CA7BI	other metabolic processes
F66KHFO02HIIQR	cell organization and biogenesis
Contig_33101	transport
F66KHFO01AVM5T	other metabolic processes
Contig_22515	cell adhesion
Contig_12841	other metabolic processes
Contig_38717	other metabolic processes
Contig_37149	developmental processes
Contig_9969	other biological processes
F66KHFO02IL61Y	other biological processes
Contig_41665	cell adhesion
Contig_11809	other biological processes
Contig_29410	cell organization and biogenesis
Contig_32031	other metabolic processes
F66KHFO01BAV0I	death
F66KHFO01B235Q	DNA metabolism
Contig_6397	other metabolic processes
Contig_24256	cell organization and biogenesis
Contig_38593	stress response
F66KHFO01EU9G1	other biological processes
Contig_2638	other metabolic processes
Contig_2998	protein metabolism
F66KHFO02IOFS4	signal transduction
Contig_680	death
Contig_27881	other metabolic processes
F66KHFO01C9TOR	transport
Contig_17722	signal transduction
F66KHFO01EZM0E	other metabolic processes
F66KHFO01B2IS9	developmental processes
Contig_13363	cell organization and biogenesis
Contig_11465	cell-cell signaling
Contig_21304	RNA metabolism
Contig_15493	other metabolic processes
Contig_27840	signal transduction
F66KHFO02JNCW9	other metabolic processes
Contig_37454	other biological processes
F66KHFO01DYGK9	transport
CCHX11597_g1_c	transport
Contig_16208	signal transduction
F66KHFO02GM7IB	cell cycle and proliferation
Contig_1232	other biological processes
Contig_7441	protein metabolism
Contig_39266	other metabolic processes
Contig_40040	other metabolic processes
F66KHFO01ASJC2	transport
F66KHFO02H5J75	other biological processes
