ContigID	GOSlim_bin
379087027	protein metabolism
379104054	other metabolic processes
379088262	other biological processes
379100196	RNA metabolism
379125389	transport
379073249	other biological processes
379086301	other biological processes
379074703	DNA metabolism
379093891	death
379074122	RNA metabolism
379110535	cell cycle and proliferation
379088967	other biological processes
379109321	signal transduction
379073800	other biological processes
379110026	signal transduction
379080685	death
379078027	other metabolic processes
379085166	other metabolic processes
379122924	transport
379082349	stress response
379101589	other metabolic processes
379087921	signal transduction
379107722	protein metabolism
379106095	other biological processes
379113605	protein metabolism
379115346	other metabolic processes
379081982	other biological processes
379085610	DNA metabolism
379091445	developmental processes
379105210	protein metabolism
379102383	signal transduction
379097821	other metabolic processes
379112834	other metabolic processes
379119852	other biological processes
379103088	signal transduction
379121813	other biological processes
379075595	other biological processes
379108361	other metabolic processes
379074305	developmental processes
379101832	signal transduction
379112849	stress response
379086084	cell cycle and proliferation
379097145	RNA metabolism
379120002	RNA metabolism
379119511	signal transduction
379107756	cell organization and biogenesis
379101661	transport
379090728	developmental processes
379097359	signal transduction
379120216	signal transduction
379096138	DNA metabolism
379076463	signal transduction
379083589	developmental processes
379091433	developmental processes
379073797	signal transduction
379097016	protein metabolism
379095354	stress response
379114303	cell cycle and proliferation
379089506	other biological processes
379123795	protein metabolism
379091546	cell organization and biogenesis
379076120	protein metabolism
379105878	RNA metabolism
379095368	cell cycle and proliferation
379121834	protein metabolism
379077210	transport
379112568	transport
379086822	stress response
379074864	protein metabolism
379088922	other metabolic processes
379108604	signal transduction
379090057	other biological processes
379092018	other biological processes
379093140	cell organization and biogenesis
379106429	RNA metabolism
379087073	cell organization and biogenesis
379118617	protein metabolism
379075561	developmental processes
379083259	protein metabolism
379082488	other metabolic processes
379080697	death
379081895	cell organization and biogenesis
379092933	signal transduction
379112734	protein metabolism
379117140	developmental processes
379073276	transport
379080542	cell-cell signaling
379109834	cell adhesion
379090194	cell adhesion
379074147	protein metabolism
379106578	other metabolic processes
379116813	other biological processes
379099302	cell cycle and proliferation
379122373	protein metabolism
379075936	signal transduction
379117863	RNA metabolism
379096832	signal transduction
379104466	stress response
379106427	stress response
379091712	cell organization and biogenesis
379112722	protein metabolism
379119647	cell cycle and proliferation
379086688	DNA metabolism
379113663	cell organization and biogenesis
379088495	cell organization and biogenesis
379077192	signal transduction
379116483	DNA metabolism
379083317	cell organization and biogenesis
379083217	other metabolic processes
379118841	cell organization and biogenesis
379095587	DNA metabolism
379110038	signal transduction
379087723	other biological processes
379088395	other metabolic processes
379078139	cell organization and biogenesis
379103237	protein metabolism
379085983	cell organization and biogenesis
379114628	developmental processes
379079821	developmental processes
379093271	cell organization and biogenesis
379103441	other biological processes
379109324	other biological processes
379093559	stress response
379089527	protein metabolism
379094462	other metabolic processes
379079710	protein metabolism
379104851	other biological processes
379079449	other metabolic processes
379122041	transport
379075527	other metabolic processes
379113930	cell cycle and proliferation
379079310	stress response
379107690	developmental processes
379077488	other metabolic processes
379093959	transport
379104146	other biological processes
379082351	RNA metabolism
379110008	cell cycle and proliferation
379106417	RNA metabolism
379075639	cell organization and biogenesis
379103100	signal transduction
379075071	transport
379081095	RNA metabolism
379084506	other biological processes
379112295	other metabolic processes
379095771	cell organization and biogenesis
379124616	death
379077900	stress response
379090771	protein metabolism
379103805	signal transduction
379084171	transport
379093596	RNA metabolism
379105689	cell cycle and proliferation
379114840	other biological processes
379082174	cell cycle and proliferation
379095557	RNA metabolism
379114132	protein metabolism
379120228	signal transduction
379104657	RNA metabolism
379116096	other biological processes
379090895	other metabolic processes
379124848	RNA metabolism
379103952	RNA metabolism
379113631	other biological processes
379122152	developmental processes
379105310	other metabolic processes
379094510	transport
379105032	protein metabolism
379106993	protein metabolism
379088785	RNA metabolism
379111833	signal transduction
379097323	RNA metabolism
379080177	developmental processes
379121943	stress response
379110405	DNA metabolism
379102484	other metabolic processes
379078083	other biological processes
379084263	death
379098579	RNA metabolism
379095220	signal transduction
379117514	RNA metabolism
379096618	RNA metabolism
379114280	other metabolic processes
379123280	protein metabolism
379090705	other metabolic processes
379092666	other metabolic processes
379095929	other biological processes
379100049	DNA metabolism
379093015	developmental processes
379120743	signal transduction
379113721	death
379119346	transport
379105029	other biological processes
379124690	protein metabolism
379121238	stress response
379084894	signal transduction
379091991	cell cycle and proliferation
379095499	other metabolic processes
379086232	other metabolic processes
379096494	DNA metabolism
379085039	stress response
379109089	cell cycle and proliferation
379076647	protein metabolism
379093417	other biological processes
379075906	cell cycle and proliferation
379084659	cell-cell signaling
379095337	death
379098800	transport
379086816	other biological processes
379081984	developmental processes
379114563	cell organization and biogenesis
379080027	cell adhesion
379079093	other metabolic processes
379093620	cell organization and biogenesis
379086937	other metabolic processes
379089212	cell organization and biogenesis
379081054	other metabolic processes
379089328	other biological processes
379117217	cell organization and biogenesis
379073364	other metabolic processes
379096122	transport
379075325	other metabolic processes
379084484	developmental processes
379104705	signal transduction
379103966	transport
379124806	developmental processes
379112590	cell organization and biogenesis
379080011	developmental processes
379095571	transport
379125175	other metabolic processes
379100937	signal transduction
379123794	signal transduction
379113258	other biological processes
379074069	other metabolic processes
379121958	other metabolic processes
379111297	other biological processes
379084304	other biological processes
379092379	other biological processes
379095759	signal transduction
379088798	protein metabolism
379092500	other metabolic processes
379120577	signal transduction
379077366	other biological processes
379115039	protein metabolism
379104863	other biological processes
379104815	stress response
379074149	other biological processes
379077737	protein metabolism
379086261	RNA metabolism
379110544	stress response
379097173	other biological processes
379092879	developmental processes
379084275	death
379120030	other biological processes
379101612	cell cycle and proliferation
379118069	other biological processes
379087701	developmental processes
379111051	other metabolic processes
379098429	other biological processes
379116411	developmental processes
379089453	death
379086120	protein metabolism
379088748	death
379073215	RNA metabolism
379093939	cell adhesion
379077020	protein metabolism
379105761	transport
379106410	death
379101629	developmental processes
379083777	other biological processes
379075503	other metabolic processes
379073542	other metabolic processes
379090906	developmental processes
379098952	RNA metabolism
379107002	other biological processes
379089300	RNA metabolism
379083417	RNA metabolism
379103080	other biological processes
379123268	protein metabolism
379101078	death
379105041	other biological processes
379090586	DNA metabolism
379110219	other biological processes
379075583	other biological processes
379120755	signal transduction
379097310	developmental processes
379094101	other metabolic processes
379117924	transport
379091989	stress response
379081312	other biological processes
379125172	stress response
379116834	protein metabolism
379097347	signal transduction
379110524	other metabolic processes
379080230	DNA metabolism
379099155	protein metabolism
379097902	other biological processes
379091494	signal transduction
379084988	other metabolic processes
379120590	protein metabolism
379090427	protein metabolism
379113190	other metabolic processes
379119469	cell cycle and proliferation
379088910	other metabolic processes
379091107	RNA metabolism
379102886	RNA metabolism
379095342	stress response
379083736	death
379118078	protein metabolism
379086953	death
379108717	other metabolic processes
379076288	other biological processes
379111074	cell cycle and proliferation
379115735	other biological processes
379097694	cell-cell signaling
379077849	other metabolic processes
379096477	protein metabolism
379083732	other metabolic processes
379075213	protein metabolism
379075379	cell cycle and proliferation
379094810	death
379091611	developmental processes
379078045	cell cycle and proliferation
379075337	other metabolic processes
379083608	protein metabolism
379081647	protein metabolism
379082355	other biological processes
379095771	signal transduction
379112014	other biological processes
379088907	stress response
379112200	transport
379095568	other biological processes
379105232	signal transduction
379091501	transport
379104214	cell organization and biogenesis
379075390	developmental processes
379096824	other biological processes
379116485	protein metabolism
379116827	transport
379106797	RNA metabolism
379125564	other biological processes
379116388	other metabolic processes
379088202	stress response
379087523	cell adhesion
379091433	cell cycle and proliferation
379113171	other metabolic processes
379082165	other biological processes
379123616	signal transduction
379088417	RNA metabolism
379101464	signal transduction
379112012	protein metabolism
379081635	protein metabolism
379100717	cell cycle and proliferation
379109098	stress response
379108432	transport
379087161	RNA metabolism
379124321	signal transduction
379104300	cell adhesion
379107531	developmental processes
379088046	other metabolic processes
379093013	stress response
379073971	other biological processes
379101318	protein metabolism
379077351	signal transduction
379119848	signal transduction
379084147	protein metabolism
379084929	cell organization and biogenesis
379086108	protein metabolism
379089302	other metabolic processes
379081612	other metabolic processes
379077197	developmental processes
379093015	death
379095434	cell organization and biogenesis
379096230	stress response
379075078	transport
379077188	other biological processes
379079149	other biological processes
379076534	cell organization and biogenesis
379077309	cell cycle and proliferation
379081981	stress response
379082700	RNA metabolism
379077578	transport
379084686	protein metabolism
379083430	protein metabolism
379082704	other biological processes
379084717	transport
379117128	death
379124982	stress response
379105707	RNA metabolism
379105002	RNA metabolism
379094717	cell organization and biogenesis
379096947	stress response
379093025	stress response
379096678	cell organization and biogenesis
379106283	protein metabolism
379094851	other biological processes
379091970	stress response
379117708	other biological processes
379097513	RNA metabolism
379116788	stress response
379077956	cell organization and biogenesis
379121626	RNA metabolism
379113710	other metabolic processes
379122152	death
379115532	stress response
379111749	other metabolic processes
379094847	RNA metabolism
379076228	cell-cell signaling
379089134	RNA metabolism
379095368	developmental processes
379111631	signal transduction
379080534	other metabolic processes
379078573	other metabolic processes
379125346	other metabolic processes
379102489	other metabolic processes
379124166	other biological processes
379076669	DNA metabolism
379102565	other biological processes
379090545	developmental processes
379097359	transport
379124795	other metabolic processes
379121654	other biological processes
379119617	other metabolic processes
379092743	signal transduction
379105529	RNA metabolism
379075559	stress response
379106495	DNA metabolism
379117366	transport
379122283	other metabolic processes
379114439	other metabolic processes
379079833	cell cycle and proliferation
379121612	cell-cell signaling
379118437	other biological processes
379090231	signal transduction
379080417	other biological processes
379125573	protein metabolism
379084843	other biological processes
379110932	transport
379109815	stress response
379091431	stress response
379117194	signal transduction
379105344	death
379109019	cell organization and biogenesis
379082522	RNA metabolism
379118610	transport
379113795	protein metabolism
379121821	signal transduction
379103407	cell cycle and proliferation
379095042	signal transduction
379093081	signal transduction
379107454	other metabolic processes
379073062	protein metabolism
379073956	developmental processes
379117012	protein metabolism
379120565	signal transduction
379091387	cell organization and biogenesis
379091980	other metabolic processes
379090406	other biological processes
379105790	cell organization and biogenesis
379077535	protein metabolism
379108987	other biological processes
379097347	RNA metabolism
379082329	other metabolic processes
379074108	death
379094681	RNA metabolism
379112170	signal transduction
379083969	protein metabolism
379106097	developmental processes
379109314	developmental processes
379084674	protein metabolism
379075344	other metabolic processes
379088442	protein metabolism
379085354	RNA metabolism
379074137	other biological processes
379112845	cell cycle and proliferation
379098589	cell-cell signaling
379105924	other biological processes
379120937	other biological processes
379079471	RNA metabolism
379097372	protein metabolism
379087186	protein metabolism
379114978	other metabolic processes
379117905	transport
379107366	transport
379099522	transport
379108888	other metabolic processes
379074269	RNA metabolism
379121264	developmental processes
379125602	DNA metabolism
379084671	stress response
379076113	protein metabolism
379076957	death
379103961	protein metabolism
379090396	cell adhesion
379093645	DNA metabolism
379104854	transport
379095606	DNA metabolism
379102683	cell adhesion
379082352	developmental processes
379090921	other biological processes
379087725	protein metabolism
379077980	cell organization and biogenesis
379106209	cell cycle and proliferation
379094350	DNA metabolism
379095754	transport
379074324	signal transduction
379087704	other biological processes
379119843	RNA metabolism
379088393	RNA metabolism
379096986	RNA metabolism
379084471	RNA metabolism
379105948	other biological processes
379121804	RNA metabolism
379099717	cell organization and biogenesis
379103282	other biological processes
379118978	transport
379079510	other biological processes
379124807	other metabolic processes
379099701	protein metabolism
379102655	other metabolic processes
379104692	other biological processes
379109124	death
379106653	other biological processes
379076276	stress response
379102731	other biological processes
379120270	DNA metabolism
379110241	protein metabolism
379092716	other biological processes
379102486	stress response
379095742	RNA metabolism
379078080	developmental processes
379119078	other metabolic processes
379098258	other biological processes
379090200	RNA metabolism
379076890	cell organization and biogenesis
379083229	other metabolic processes
379094965	other metabolic processes
379076824	developmental processes
379117919	protein metabolism
379074481	stress response
379085344	other metabolic processes
379092011	other biological processes
379116642	other biological processes
379107395	cell organization and biogenesis
379095361	cell cycle and proliferation
379088561	other metabolic processes
379101471	RNA metabolism
379084639	other metabolic processes
379076824	signal transduction
379076949	other metabolic processes
379108046	signal transduction
379103234	cell adhesion
379104954	other metabolic processes
379121589	cell cycle and proliferation
379080166	other metabolic processes
379109704	other biological processes
379074312	signal transduction
379089662	cell cycle and proliferation
379073230	other biological processes
379098279	protein metabolism
379091609	stress response
379108046	developmental processes
379075562	protein metabolism
379077747	DNA metabolism
379096475	other biological processes
379093781	transport
379097217	cell organization and biogenesis
379117371	other biological processes
379113273	DNA metabolism
379113562	developmental processes
379098473	cell organization and biogenesis
379081395	death
379117295	other metabolic processes
379109290	death
379096399	other metabolic processes
379099692	other biological processes
379122549	other biological processes
379101330	protein metabolism
379090933	other biological processes
379119256	other metabolic processes
379093963	other biological processes
379093922	developmental processes
379119836	signal transduction
379081984	protein metabolism
379080371	RNA metabolism
379083987	signal transduction
379108900	other metabolic processes
379098074	cell-cell signaling
379107519	signal transduction
379087165	other biological processes
379076422	other metabolic processes
379091991	developmental processes
379083170	cell organization and biogenesis
379076297	signal transduction
379097401	DNA metabolism
379086108	developmental processes
379081600	other metabolic processes
379083561	other metabolic processes
379074722	transport
379085836	cell organization and biogenesis
379092891	protein metabolism
