ContigID	GOSlim_bin
Locus_1_Transcript_1/1_Confidence_1.000_Length_225_transcripts_v2_8356	protein metabolism
Locus_1_Transcript_1/1_Confidence_1.000_Length_225_transcripts_v2_8356	other biological processes
Locus_1000_Transcript_1/1_Confidence_1.000_Length_292_transcripts_v2_6389	developmental processes
Locus_1000_Transcript_1/1_Confidence_1.000_Length_292_transcripts_v2_6389	other biological processes
Locus_10004_Transcript_1/1_Confidence_1.000_Length_174_transcripts_v2_10976	transport
Locus_10024_Transcript_1/1_Confidence_1.000_Length_411_transcripts_v2_4529	signal transduction
Locus_1003_Transcript_1/1_Confidence_1.000_Length_421_transcripts_v2_4420	protein metabolism
Locus_10037_Transcript_1/1_Confidence_1.000_Length_428_transcripts_v2_4337	other metabolic processes
Locus_10043_Transcript_1/1_Confidence_1.000_Length_339_transcripts_v2_5512	other metabolic processes
Locus_10045_Transcript_1/1_Confidence_1.000_Length_696_transcripts_v2_2383	protein metabolism
Locus_10059_Transcript_1/1_Confidence_1.000_Length_589_transcripts_v2_3011	transport
Locus_10063_Transcript_1/1_Confidence_1.000_Length_177_transcripts_v2_10761	other biological processes
Locus_10068_Transcript_1/1_Confidence_1.000_Length_424_transcripts_v2_4379	transport
Locus_10069_Transcript_1/1_Confidence_1.000_Length_220_transcripts_v2_8577	other biological processes
Locus_10069_Transcript_1/1_Confidence_1.000_Length_220_transcripts_v2_8577	other metabolic processes
Locus_10073_Transcript_1/1_Confidence_1.000_Length_733_transcripts_v2_2166	protein metabolism
Locus_10078_Transcript_1/1_Confidence_1.000_Length_305_transcripts_v2_6109	other metabolic processes
Locus_10078_Transcript_1/1_Confidence_1.000_Length_305_transcripts_v2_6109	cell cycle and proliferation
Locus_10078_Transcript_1/1_Confidence_1.000_Length_305_transcripts_v2_6109	stress response
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476	developmental processes
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476	protein metabolism
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476	death
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476	other metabolic processes
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476	cell cycle and proliferation
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476	cell organization and biogenesis
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476	other biological processes
